REC_TIME,ID,POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
2022/7/29 0:00,22216,1001,9.00E-01,0,1.01E+02,16,0,47,0,562,625
2022/6/12 0:00,22169,1001,6.90E+00,0,9.47E+01,1506,0,1284,0,10035,12825
2022/7/18 0:00,22205,1001,8.40E+00,0,1.01E+02,1938,0,1568,0,12324,15830
2022/6/21 0:00,22178,1001,6.20E+00,0,1.02E+02,1132,0,1161,0,10329,12622
2022/8/6 0:00,22247,1001,2.80E+00,0,8.03E+01,99,0,190,0,1678,1967
2022/7/26 0:00,22213,1001,1.80E+00,0,1.07E+02,149,0,248,0,2711,3108
2022/5/17 0:00,22143,1001,1.47E+01,0,7.73E+01,2528,0,1589,0,11380,15497
2022/6/20 0:00,22177,1001,5.20E+00,0,1.05E+02,1012,0,978,0,9203,11193
2022/10/10 0:00,22688,1001,1.80E+00,0,9.71E+01,101,0,159,0,2262,2522
2022/6/14 0:00,22171,1001,6.80E+00,0,9.29E+01,1486,0,1212,0,8690,11388
2022/7/12 0:00,22199,1001,6.20E+00,0,9.11E+01,848,0,737,0,6244,7829
2022/9/2 0:00,22289,1001,6.10E+00,0,9.13E+01,591,0,782,0,5976,7349
2022/8/7 0:00,22267,1001,1.50E+00,0,7.18E+01,47,0,89,0,965,1101
2022/10/7 0:00,22672,1001,1.40E+00,0,7.75E+01,20,0,57,0,919,996
2022/10/19 0:00,22728,1001,1.60E+00,0,7.46E+01,44,0,104,0,1239,1387
2022/7/20 0:00,22207,1001,4.10E+00,0,9.88E+01,610,0,603,0,6025,7238
2022/6/22 0:00,22179,1001,4.70E+00,0,1.01E+02,573,0,707,0,7035,8315
2022/9/10 0:00,22367,1001,4.10E+00,0,9.46E+01,421,0,628,0,5502,6551
2022/9/1 0:00,22288,1001,3.80E+00,0,7.69E+01,166,0,312,0,2621,3099
2022/7/28 0:00,22215,1001,6.00E-01,0,1.10E+02,26,0,46,0,775,847
2022/6/30 0:00,22187,1001,2.00E+00,0,8.66E+01,61,0,119,0,1033,1213
2022/9/9 0:00,22347,1001,4.10E+00,0,8.13E+01,257,0,442,0,3912,4611
2022/10/27 0:00,22769,1001,1.60E+00,0,8.81E+01,47,0,110,0,1576,1733
2022/9/18 0:00,22507,1001,5.60E+00,0,9.33E+01,592,0,702,0,6421,7715
2022/10/15 0:00,22710,1001,1.40E+00,0,8.18E+01,28,0,75,0,885,988
2022/8/5 0:00,22232,1001,4.70E+00,0,8.57E+01,237,0,330,0,2628,3195
2022/10/24 0:00,22748,1001,1.80E+00,0,7.51E+01,75,0,161,0,1825,2061
2022/9/26 0:00,22588,1001,1.40E+00,0,7.92E+01,13,0,40,0,559,612
2022/7/8 0:00,22195,1001,2.50E+00,0,9.42E+01,178,0,240,0,2510,2928
2022/11/4 0:00,22887,1001,2.10E+00,0,8.32E+01,62,0,114,0,1070,1246
2022/8/13 0:00,22273,1001,2.40E+00,0,7.30E+01,82,0,197,0,1744,2023
2022/10/4 0:00,22669,1001,7.00E-01,0,6.50E+01,7,0,29,0,408,444
2022/7/16 0:00,22203,1001,8.80E+00,0,1.03E+02,2414,0,1797,0,13868,18079
2022/11/1 0:00,22827,1001,2.20E+00,0,1.03E+02,180,0,317,0,4051,4548
2022/9/17 0:00,22487,1001,6.70E+00,0,9.09E+01,585,0,788,0,6456,7829
2022/9/7 0:00,22330,1001,6.10E+00,0,9.25E+01,577,0,836,0,6487,7900
